Usable Ace
12 1 0
12 2 9.30414e-10
12 3 0.807073
12 4 0.564252
12 5 0
12 6 0.742975
12 7 0.418526
12 8 8.37373e-09
12 9 0.066816
12 10 0
13 1 0
13 2 0.7957
13 3 1
13 4 0
13 5 2.27299
13 6 1.8186
13 7 1.15245
13 8 0
13 9 0
13 10 1.73251
14 1 0
14 2 -0.5
14 3 0
14 4 1.58723
14 5 1.39536
14 6 0.116667
14 7 1
14 8 -0.542509
14 9 -0.668229
14 10 -1.38417
15 1 -3.38073
15 2 0.0536188
15 3 0
15 4 1.24261
15 5 -1.04381
15 6 0.399417
15 7 0.234458
15 8 0
15 9 0
15 10 -1.22199
16 1 0
16 2 1.04087
16 3 0
16 4 0.978003
16 5 0
16 6 0.688241
16 7 1
16 8 0
16 9 -1
16 10 0
17 1 0
17 2 0
17 3 0.937958
17 4 1.36451
17 5 1.2162
17 6 0
17 7 -0.326067
17 8 0
17 9 0
17 10 0
18 1 -0.101856
18 2 0.578766
18 3 1
18 4 1.43931
18 5 1.67832
18 6 1.53656
18 7 2.86919
18 8 0
18 9 1.74963
18 10 -0.933751
19 1 -1
19 2 2.07448
19 3 3.86705
19 4 2.23021
19 5 2.681
19 6 1.13554
19 7 4.34117
19 8 1.69308
19 9 1.58348
19 10 0.0531008
20 1 1.94959
20 2 4.44781
20 3 3.19645
20 4 2.97562
20 5 4.75422
20 6 4.61788
20 7 5.1494
20 8 6.17606
20 9 4.97252
20 10 4.0726
21 1 5.14998
21 2 7.03652
21 3 6.12044
21 4 7.16687
21 5 7.36356
21 6 6.14921
21 7 6.49064
21 8 6.14695
21 9 6.32342
21 10 7.42455
