No Usable Ace
0 0 -4.0002
0 1 -9.32233e-10
0 2 0
0 3 -0.592048
0 4 -5.77984e-08
0 5 -2.76936
0 6 -1.16022
0 7 0
0 8 0
0 9 -5.78668
1 0 -5.50647
1 1 -3.46868
1 2 -1.16974
1 3 -0.166667
1 4 0
1 5 0
1 6 -0.273413
1 7 -2.08333
1 8 0
1 9 -2.97765
2 0 -1
2 1 1
2 2 0
2 3 0.257043
2 4 -0.732543
2 5 0
2 6 0
2 7 1
2 8 -2.89623
2 9 -6.436
3 0 -4.623
3 1 0
3 2 -0.921526
3 3 0
3 4 -2.13129
3 5 -0.945481
3 6 -1
3 7 0
3 8 0
3 9 0
4 0 0
4 1 0
4 2 0
4 3 -0.76772
4 4 -2.57502
4 5 -0.0876984
4 6 -1.11667
4 7 0
4 8 0
4 9 0
5 0 -5.12353
5 1 -1.83333
5 2 0.125244
5 3 -1.10109
5 4 1.95642
5 5 1.49354
5 6 -1.5
5 7 0
5 8 0
5 9 0
6 0 0
6 1 1.47582
6 2 -0.334198
6 3 2.95523
6 4 1.8644
6 5 3.86439
6 6 2.33153
6 7 0.297901
6 8 -1.5
6 9 -1.1123
7 0 0
7 1 2.26287
7 2 2.46
7 3 3.08897
7 4 1.87863
7 5 4.29635
7 6 4.69075
7 7 6.35167
7 8 0
7 9 0
8 0 1.90364
8 1 4.41232
8 2 5.61779
8 3 6.59721
8 4 5.74494
8 5 4.88557
8 6 8.11121
8 7 6.84215
8 8 7.53532
8 9 5.41963
9 0 5.67619
9 1 7.10594
9 2 8.45947
9 3 7.12784
9 4 7.06936
9 5 7.6059
9 6 7.94973
9 7 6.92462
9 8 6.98662
9 9 9.84894
