No Usable Ace
12 1 -0.56616
12 2 -6.52563e-09
12 3 -0.242054
12 4 -0.151515
12 5 -1.86447e-09
12 6 -0.165934
12 7 -0.474118
12 8 0
12 9 -0.513081
12 10 -0.431429
13 1 -0.6
13 2 -0.284417
13 3 0
13 4 -0.260347
13 5 -0.260818
13 6 -0.265491
13 7 -0.302619
13 8 -0.357975
13 9 -0.52626
13 10 -0.463649
14 1 -0.591602
14 2 -0.25
14 3 0.0666667
14 4 0
14 5 -0.140713
14 6 -0.0784314
14 7 -0.349754
14 8 -0.49676
14 9 0
14 10 -0.333333
15 1 0
15 2 0
15 3 -0.232435
15 4 -0.21114
15 5 -0.0322581
15 6 0
15 7 -0.484725
15 8 0
15 9 0
15 10 -0.5684
16 1 -0.7573
16 2 0
16 3 0
16 4 -0.182378
16 5 -0.124482
16 6 -0.132308
16 7 -0.379451
16 8 -0.444444
16 9 -0.535367
16 10 0
17 1 0
17 2 -0.138633
17 3 -0.184397
17 4 0
17 5 -0.0196762
17 6 0.00342801
17 7 -0.0878063
17 8 0
17 9 1
17 10 -0.467599
18 1 -0.352432
18 2 0.128446
18 3 0.151807
18 4 0.191603
18 5 0.198773
18 6 0.297334
18 7 0.394265
18 8 0.0799514
18 9 -0.5
18 10 0
19 1 -0.11544
19 2 0.362247
19 3 0.382255
19 4 0.402377
19 5 0.464743
19 6 0.505944
19 7 0.60744
19 8 0.597091
19 9 0.037037
19 10 0
20 1 0.182734
20 2 0.637744
20 3 0.624079
20 4 0.645168
20 5 0.680318
20 6 0.713422
20 7 0.766542
20 8 0.796324
20 9 0.751796
20 10 0.454331
21 1 0.619469
21 2 0.884817
21 3 0.88503
21 4 0.880366
21 5 0.904079
21 6 0.905344
21 7 0.926061
21 8 0.932903
21 9 0.934124
21 10 0.874277
