Usable Ace
12 1 -0.727273
12 2 0
12 3 0.0972973
12 4 0.0909091
12 5 0.125
12 6 0.248485
12 7 -0.00694444
12 8 9.30414e-10
12 9 0
12 10 -0.119424
13 1 -0.501416
13 2 0.0465839
13 3 0.0492505
13 4 0.0577889
13 5 0.0390144
13 6 0.0836653
13 7 -0.0177165
13 8 0.0454545
13 9 0
13 10 -0.0483871
14 1 -0.786127
14 2 0.0588235
14 3 -0.038674
14 4 0.0455927
14 5 0.0746269
14 6 0
14 7 -0.52919
14 8 0
14 9 -0.204188
14 10 -0.211009
15 1 -0.458515
15 2 -0.205128
15 3 0
15 4 0.0320366
15 5 -0.0125
15 6 0.144195
15 7 -0.0809793
15 8 -0.0833333
15 9 0
15 10 -0.270599
16 1 -0.49537
16 2 -0.182149
16 3 -0.047138
16 4 0.0243902
16 5 0.0381356
16 6 0.0567485
16 7 -0.101266
16 8 -0.285714
16 9 0
16 10 -0.288486
17 1 -0.589385
17 2 0.0353982
17 3 -0.0857143
17 4 0.0971963
17 5 0.121693
17 6 0.116054
17 7 0.25
17 8 -0.422145
17 9 0
17 10 -0.305732
18 1 -0.366733
18 2 0.127055
18 3 0.176471
18 4 0.152113
18 5 0.210593
18 6 0.25
18 7 0.463668
18 8 0.363636
18 9 0
18 10 -0.263617
19 1 0
19 2 1
19 3 0.425806
19 4 0.376812
19 5 0.461832
19 6 0.522727
19 7 0.586066
19 8 0.62089
19 9 0.318893
19 10 -0.0131728
20 1 0.0788591
20 2 0.641092
20 3 0.684741
20 4 0.685714
20 5 0.699875
20 6 0.696429
20 7 0.755236
20 8 0.783099
20 9 0.754821
20 10 0.466311
21 1 0
21 2 1
21 3 0.888534
21 4 0.880986
21 5 0.897425
21 6 0.894996
21 7 0.919472
21 8 1
21 9 1
21 10 0.901208
